,ridge,rfr,lgbm,xgb,cat
ridge,1.0,0.0029386781221729663,0.7514240977400495,0.691229542080652,0.030612572572865204
rfr,0.0029386781221729663,1.0,0.11523272364644743,0.14477468277747674,0.9565436477413238
lgbm,0.7514240977400495,0.11523272364644743,1.0,0.99997744933817,0.43387799393354354
xgb,0.691229542080652,0.14477468277747674,0.99997744933817,1.0,0.49732480971524573
cat,0.030612572572865204,0.9565436477413238,0.43387799393354354,0.49732480971524573,1.0
